"Individuo","IEP","OP","SC","EdP","ÉpP","AP","DA"
"68062",456,"1","Hembra",933,"Transición","1970",172
"68062",349,"2","Hembra",1389,"Sequía","1972",65
"68062",487,"4","Macho",2406,"Transición","1974",203
"68062",329,"5","Hembra",2893,"Sequía","1976",45
"68066",374,"1","Hembra",1008,"Sequía","1971",90
"68066",359,"2","Macho",1382,"Sequía","1972",75
"68066",370,"3","Hembra",1741,"Sequía","1973",86
"68074",385,"1","Macho",1373,"Sequía","1972",101
"68074",347,"2","Macho",1758,"Sequía","1973",63
"68074",430,"4","Macho",2474,"Sequía","1975",146
"68078",365,"1","Macho",1032,"Sequía","1971",81
"68078",348,"2","Macho",1397,"Sequía","1972",64
"68078",367,"3","Hembra",1745,"Sequía","1973",83
"68078",453,"5","Macho",2504,"Sequía","1975",169
"68092",365,"2","Hembra",1740,"Sequía","1973",81
"68096",368,"1","Hembra",1382,"Sequía","1972",84
"68096",361,"2","Hembra",1750,"Sequía","1973",77
"68096",426,"3","Macho",2111,"Sequía","1974",142
"68104",373,"1","Macho",1000,"Sequía","1971",89
"68114",427,"1","Hembra",1300,"Transición","1971",143
"68114",346,"2","Hembra",1727,"Sequía","1973",62
"68116",354,"1","Macho",1363,"Sequía","1972",70
"68116",381,"2","Hembra",1717,"Sequía","1973",97
"68124",385,"2","Macho",1717,"Sequía","1973",101
"68124",357,"3","Hembra",2102,"Sequía","1974",73
"68124",467,"4","Hembra",2459,"Sequía","1975",183
"68124",435,"6","Hembra",3496,"Transición","1977",151
"68124",357,"7","Hembra",3931,"Sequía","1979",73
"68124",365,"8","Hembra",4288,"Sequía","1980",81
"68132",370,"3","Macho",2095,"Sequía","1974",86
"68134",356,"1","Hembra",1351,"Sequía","1972",72
"68138",366,"2","Macho",1702,"Sequía","1973",82
"68138",371,"3","Macho",2068,"Sequía","1974",87
"68138",342,"8","Hembra",4318,"Sequía","1980",58
"68142",396,"1","Macho",983,"Sequía","1971",112
"68142",384,"2","Macho",1379,"Sequía","1972",100
"68142",343,"4","Macho",2096,"Sequía","1974",59
"68142",472,"5","Macho",2439,"Sequía","1975",188
"68142",356,"8","Macho",4272,"Sequía","1980",72
"68154",399,"1","Hembra",1003,"Sequía","1971",115
"68154",487,"4","Macho",2437,"Sequía","1975",203
"68166",357,"1","Hembra",948,"Sequía","1971",73
"68166",407,"4","Macho",2410,"Sequía","1975",123
"68166",354,"6","Hembra",3503,"Sequía","1978",70
"69018",436,"3","Hembra",2178,"Sequía","1975",152
"69022",381,"2","Macho",1827,"Sequía","1974",97
"69022",342,"4","Macho",2954,"Sequía","1977",58
"69032",344,"3","Hembra",1875,"Sequía","1974",60
"69032",410,"4","Hembra",2219,"Sequía","1975",126
"69032",395,"6","Macho",3270,"Sequía","1978",111
"69050",369,"5","Macho",3292,"Sequía","1978",85
"69090",381,"1","Macho",1049,"Sequía","1972",97
"69090",333,"2","Hembra",1458,"Sequía","1973",49
"69090",365,"3","Macho",1791,"Sequía","1974",81
"69132",401,"1","Macho",1092,"Sequía","1972",117
"69132",319,"2","Hembra",1493,"Transición","1973",35
"69132",377,"3","Macho",1812,"Sequía","1974",93
"69132",392,"4","Macho",2189,"Sequía","1975",108
"69132",356,"7","Macho",3631,"Sequía","1979",72
"69132",362,"8","Hembra",3987,"Sequía","1980",78
"69134",465,"5","Macho",3223,"Sequía","1978",181
"69154",370,"2","Hembra",1780,"Sequía","1974",86
"69156",376,"1","Hembra",1042,"Sequía","1972",92
"69156",382,"2","Macho",1418,"Sequía","1973",98
"69156",392,"3","Hembra",1800,"Sequía","1974",108
"69164",377,"2","Hembra",1747,"Transición","1973",93
"69164",487,"3","Macho",2124,"Sequía","1975",203
"69170",390,"1","Hembra",1083,"Sequía","1972",106
"69170",350,"2","Hembra",1473,"Sequía","1973",66
"69182",489,"2","Hembra",2118,"Sequía","1975",205
"69188",373,"1","Hembra",1042,"Sequía","1972",89
"69188",363,"2","Macho",1415,"Sequía","1973",79
"69188",338,"3","Macho",1778,"Sequía","1974",54
"69188",425,"4","Hembra",2116,"Sequía","1975",141
"69188",330,"5","Macho",2541,"Sequía","1976",46
"69220",391,"1","Hembra",1063,"Sequía","1972",107
"69220",360,"2","Hembra",1454,"Sequía","1973",76
"69220",343,"3","Macho",1814,"Sequía","1974",59
"69232",389,"1","Macho",1016,"Sequía","1972",105
"69232",365,"2","Macho",1405,"Sequía","1973",81
"69232",356,"3","Hembra",1770,"Sequía","1974",72
"69232",444,"4","Macho",2126,"Sequía","1975",160
"69244",370,"2","Macho",1396,"Sequía","1973",86
"69244",400,"4","Macho",2124,"Sequía","1975",116
"69244",335,"5","Macho",2524,"Sequía","1976",51
"69252",342,"1","Hembra",1035,"Sequía","1972",58
"69252",376,"3","Hembra",1751,"Sequía","1974",92
"69258",364,"1","Macho",1020,"Sequía","1972",80
"69264",363,"1","Hembra",1082,"Sequía","1972",79
"69302",368,"1","Macho",1370,"Sequía","1973",84
"69302",398,"2","Macho",1738,"Sequía","1974",114
"69302",372,"3","Hembra",2136,"Sequía","1975",88
"69302",361,"4","Macho",2508,"Sequía","1976",77
"69372",383,"1","Macho",1105,"Sequía","1972",99
"70014",490,"2","Macho",1804,"Sequía","1975",206
"70014",340,"6","Macho",3631,"Sequía","1980",56
"70014",366,"7","Macho",3971,"Sequía","1981",82
"70014",392,"8","Hembra",4337,"Sequía","1982",108
"70016",324,"1","Hembra",1112,"Sequía","1973",40
"70016",354,"2","Macho",1436,"Sequía","1974",70
"70046",342,"7","Macho",3708,"Sequía","1980",58
"70056",383,"1","Hembra",1045,"Sequía","1973",99
"70056",350,"2","Hembra",1428,"Sequía","1974",66
"70064",347,"1","Macho",1073,"Sequía","1973",63
"70064",386,"2","Hembra",1420,"Sequía","1974",102
"70066",365,"1","Hembra",1055,"Sequía","1973",81
"70066",350,"2","Macho",1420,"Sequía","1974",66
"70066",466,"3","Hembra",1770,"Sequía","1975",182
"70072",443,"3","Macho",1788,"Sequía","1975",159
"70074",372,"1","Hembra",1058,"Sequía","1973",88
"70074",357,"2","Hembra",1430,"Sequía","1974",73
"70074",438,"3","Hembra",1787,"Sequía","1975",154
"70074",417,"5","Macho",2887,"Sequía","1978",133
"70074",338,"7","Macho",3638,"Sequía","1980",54
"70096",369,"1","Hembra",1050,"Sequía","1973",85
"70096",393,"2","Macho",1419,"Sequía","1974",109
"70098",364,"1","Macho",1059,"Sequía","1973",80
"70098",350,"2","Macho",1423,"Sequía","1974",66
"70098",448,"3","Hembra",1773,"Sequía","1975",164
"70098",330,"4","Hembra",2221,"Transición","1976",46
"70098",340,"5","Macho",2551,"Sequía","1977",56
"70106",410,"2","Hembra",1827,"Sequía","1975",126
"70116",381,"1","Hembra",1032,"Sequía","1973",97
"70116",352,"2","Macho",1413,"Sequía","1974",68
"70116",468,"3","Hembra",1765,"Sequía","1975",184
"70116",348,"7","Hembra",3623,"Sequía","1980",64
"70116",429,"8","Hembra",3971,"Sequía","1981",145
"70116",338,"9","Macho",4400,"Sequía","1982",54
"70116",347,"10","Macho",4738,"Sequía","1983",63
"70116",355,"11","Hembra",5085,"Sequía","1984",71
"70122",474,"2","Macho",1707,"Transición","1974",190
"70122",396,"7","Macho",3624,"Sequía","1980",112
"70126",357,"1","Hembra",1058,"Sequía","1973",73
"70126",372,"2","Macho",1155,"Sequía","1974",88
"70126",419,"3","Macho",1527,"Sequía","1975",135
"70126",315,"5","Hembra",2303,"Sequía","1977",31
"70126",402,"6","Macho",2618,"Sequía","1978",118
"70148",381,"1","Macho",1015,"Sequía","1973",97
"70148",365,"2","Hembra",1396,"Sequía","1974",81
"70152",444,"2","Macho",1779,"Sequía","1975",160
"70164",351,"1","Macho",1039,"Sequía","1973",67
"70164",454,"4","Macho",2829,"Sequía","1978",170
"70164",414,"7","Macho",3983,"Sequía","1981",130
"70164",375,"9","Hembra",5039,"Sequía","1984",91
"70168",412,"1","Hembra",1029,"Sequía","1973",128
"70168",330,"2","Macho",1441,"Sequía","1974",46
"70170",355,"1","Hembra",1034,"Sequía","1973",71
"70170",355,"2","Macho",1389,"Sequía","1974",71
"70176",481,"2","Hembra",1553,"Lluvia","1974",197
"7018",368,"2","Macho",1841,"Transición","2012",84
"7018",368,"3","Hembra",2209,"Transición","2013",84
"7018",327,"4","Hembra",2577,"Transición","2014",43
"7018",376,"5","Hembra",2904,"Sequía","2015",92
"70194",417,"4","Hembra",2836,"Sequía","1978",133
"70200",461,"2","Macho",1716,"Sequía","1975",177
"70200",370,"6","Hembra",3559,"Sequía","1980",86
"7028",448,"2","Hembra",1803,"Sequía","2012",164
"7028",372,"3","Hembra",2251,"Transición","2013",88
"7054",492,"2","Macho",2045,"Transición","2012",208
"7054",435,"3","Macho",2537,"Sequía","2014",151
"7060",500,"1","Macho",1541,"Transición","2011",216
"7060",495,"2","Macho",2041,"Transición","2012",211
"7078",372,"2","Macho",2184,"Transición","2013",88
"7078",401,"3","Hembra",2556,"Transición","2014",117
"7082",335,"1","Hembra",1809,"Sequía","2012",51
"7082",461,"2","Hembra",2144,"Sequía","2013",177
"7086",523,"4","Hembra",3075,"Lluvia","2015",239
"7088",333,"2","Hembra",3253,"Sequía","2016",49
"7100",369,"1","Macho",1075,"Sequía","2010",85
"7100",340,"2","Macho",1444,"Sequía","2011",56
"7100",461,"4","Macho",2533,"Sequía","2014",177
"7100",366,"5","Macho",2994,"Transición","2015",82
"71018",439,"2","Hembra",1486,"Sequía","1975",155
"7102",385,"1","Macho",1056,"Sequía","2010",101
"7102",409,"2","Macho",1441,"Sequía","2011",125
"7102",324,"3","Hembra",1850,"Transición","2012",40
"7102",400,"6","Hembra",2961,"Transición","2015",116
"7102",335,"7","Hembra",3361,"Transición","2016",51
"71062",478,"1","Macho",1430,"Sequía","1975",194
"71062",408,"3","Hembra",2526,"Sequía","1978",124
"71062",364,"6","Hembra",4025,"Sequía","1982",80
"71062",370,"7","Macho",4389,"Sequía","1983",86
"71062",384,"8","Macho",4759,"Sequía","1984",100
"71072",433,"1","Macho",1088,"Sequía","1974",149
"71074",369,"1","Macho",1074,"Sequía","1974",85
"71082",404,"1","Macho",1036,"Transición","1973",120
"71084",453,"2","Macho",2153,"Sequía","1977",169
"71088",343,"1","Macho",1116,"Sequía","1974",59
"71088",395,"2","Macho",1459,"Sequía","1975",111
"71088",374,"5","Hembra",2547,"Sequía","1978",90
"71088",388,"8","Macho",3311,"Sequía","1980",104
"71110",326,"1","Hembra",1116,"Sequía","1974",42
"71114",392,"1","Hembra",1077,"Sequía","1974",108
"71116",360,"1","Hembra",1154,"Transición","1974",76
"71116",369,"2","Hembra",1514,"Transición","1975",85
"71116",366,"3","Hembra",1883,"Transición","1976",82
"71120",348,"1","Macho",1110,"Sequía","1974",64
"71130",461,"1","Macho",1030,"Transición","1973",177
"71152",430,"5","Macho",2952,"Sequía","1980",146
"71152",362,"6","Hembra",3739,"Transición","1981",78
"71166",388,"1","Hembra",1062,"Sequía","1974",104
"71166",389,"2","Hembra",1450,"Sequía","1975",105
"71166",394,"3","Macho",1839,"Sequía","1976",110
"71166",384,"5","Macho",2519,"Sequía","1978",100
"71238",367,"2","Hembra",1820,"Sequía","1976",83
"71238",335,"6","Hembra",3254,"Sequía","1980",51
"71240",405,"3","Hembra",2108,"Sequía","1977",121
"71240",342,"8","Macho",3986,"Sequía","1982",58
"71240",369,"9","Hembra",4328,"Sequía","1983",85
"71240",370,"10","Macho",4697,"Sequía","1984",86
"71272",394,"1","Hembra",999,"Sequía","1974",110
"71272",345,"6","Hembra",3231,"Sequía","1980",61
"71280",407,"3","Hembra",2505,"Sequía","1978",123
"71316",393,"3","Macho",2022,"Sequía","1977",109
"71316",366,"4","Macho",2445,"Sequía","1978",82
"71316",357,"6","Hembra",3122,"Sequía","1980",73
"71316",416,"7","Macho",3479,"Sequía","1981",132
"71316",399,"8","Macho",3895,"Sequía","1982",115
"71318",382,"1","Hembra",899,"Sequía","1974",98
"7132",496,"5","Macho",3188,"Sequía","2016",212
"7136",524,"1","Hembra",1342,"Sequía","2011",240
"7136",322,"2","Macho",1866,"Transición","2012",38
"7136",447,"3","Hembra",2188,"Transición","2013",163
"7162",462,"4","Macho",2944,"Transición","2015",178
"7186",371,"1","Macho",1385,"Sequía","2011",87
"7186",438,"2","Hembra",1756,"Sequía","2012",154
"72026",403,"3","Macho",2175,"Sequía","1978",119
"72028",367,"1","Macho",1505,"Sequía","1976",83
"72030",418,"1","Macho",1101,"Sequía","1975",134
"72052",444,"1","Hembra",1084,"Sequía","1975",160
"72052",393,"3","Macho",2189,"Sequía","1978",109
"72052",358,"5","Hembra",2935,"Sequía","1980",74
"72052",366,"6","Macho",3293,"Sequía","1981",82
"72052",422,"7","Macho",3659,"Sequía","1982",138
"72058",334,"6","Macho",3332,"Sequía","1981",50
"72068",332,"6","Hembra",2962,"Sequía","1980",48
"72074",345,"3","Hembra",1904,"Transición","1977",61
"72074",350,"4","Macho",2249,"Sequía","1978",66
"72086",518,"1","Hembra",1284,"Lluvia","1975",234
"72086",402,"2","Macho",1802,"Sequía","1977",118
"72086",367,"3","Macho",2204,"Sequía","1978",83
"72090",346,"2","Macho",1499,"Sequía","1976",62
"72106",357,"5","Hembra",2930,"Sequía","1980",73
"72106",384,"6","Macho",3287,"Sequía","1981",100
"72106",415,"7","Macho",3671,"Sequía","1982",131
"72120",395,"1","Macho",1099,"Sequía","1975",111
"72120",339,"2","Hembra",1494,"Sequía","1976",55
"72120",372,"5","Hembra",2564,"Sequía","1979",88
"72128",455,"1","Macho",1088,"Sequía","1975",171
"72128",390,"3","Macho",2179,"Sequía","1978",106
"72130",431,"1","Hembra",1103,"Sequía","1975",147
"72130",347,"4","Hembra",2988,"Sequía","1980",63
"72130",357,"5","Macho",3335,"Sequía","1981",73
"72130",352,"6","Macho",3692,"Sequía","1982",68
"72130",442,"7","Macho",4044,"Sequía","1983",158
"72130",370,"8","Hembra",4486,"Transición","1984",86
"72192",455,"1","Hembra",1076,"Sequía","1975",171
"72192",346,"2","Hembra",1531,"Transición","1976",62
"72204",534,"1","Macho",1078,"Sequía","1975",250
"7224",484,"1","Hembra",1338,"Sequía","2011",200
"72246",329,"2","Hembra",1499,"Transición","1976",45
"72246",336,"3","Macho",1828,"Sequía","1977",52
"72246",434,"5","Macho",2905,"Sequía","1980",150
"72246",332,"8","Macho",4016,"Sequía","1983",48
"72246",384,"9","Hembra",4348,"Sequía","1984",100
"72246",365,"10","Macho",4732,"Sequía","1985",81
"72252",435,"1","Macho",1090,"Sequía","1975",151
"72252",674,"3","Macho",2132,"Sequía","1978",86
"72252",355,"5","Hembra",2933,"Sequía","1980",71
"72252",334,"6","Macho",3307,"Sequía","1981",50
"72252",367,"7","Macho",3622,"Sequía","1982",83
"72252",345,"8","Macho",3989,"Sequía","1983",61
"72254",388,"2","Macho",1766,"Sequía","1977",104
"72254",354,"5","Hembra",2883,"Sequía","1980",70
"72254",359,"6","Hembra",3237,"Sequía","1981",75
"72254",391,"7","Hembra",3596,"Sequía","1982",107
"72254",489,"8","Macho",3987,"Sequía","1983",205
"7226",456,"2","Hembra",2430,"Sequía","2014",172
"72296",416,"1","Macho",1060,"Sequía","1975",132
"72296",354,"5","Hembra",2512,"Sequía","1979",70
"72296",388,"6","Macho",2869,"Sequía","1980",104
"72296",355,"7","Hembra",3257,"Sequía","1981",71
"72296",350,"8","Macho",3612,"Sequía","1982",66
"72314",432,"1","Hembra",1055,"Sequía","1975",148
"72332",418,"3","Hembra",2775,"Transición","1979",134
"72332",377,"4","Macho",3193,"Sequía","1981",93
"72332",371,"5","Hembra",3567,"Sequía","1982",87
"72332",392,"6","Macho",3938,"Sequía","1983",108
"72332",349,"7","Hembra",4330,"Sequía","1984",65
"72336",376,"1","Macho",1764,"Sequía","1977",92
"72336",368,"2","Macho",2140,"Sequía","1978",84
"72336",422,"4","Hembra",2936,"Sequía","1980",138
"7238",347,"2","Macho",1738,"Transición","2012",63
"7238",434,"3","Macho",2085,"Transición","2013",150
"7238",344,"5","Hembra",3121,"Sequía","2016",60
"7242",534,"2","Hembra",1943,"Sequía","2013",250
"7244",444,"2","Macho",2035,"Transición","2013",160
"7246",476,"1","Hembra",1270,"Sequía","2011",192
"7246",462,"3","Hembra",2495,"Lluvia","2014",178
"7248",374,"2","Macho",2410,"Transición","2014",90
"7256",463,"2","Hembra",1823,"Lluvia","2012",179
"7256",354,"3","Macho",2286,"Transición","2013",70
"7256",461,"4","Hembra",2640,"Transición","2014",177
"7256",341,"5","Hembra",3101,"Sequía","2016",57
"7264",379,"1","Macho",1621,"Sequía","2012",95
"7264",365,"2","Hembra",2000,"Transición","2013",81
"7264",406,"3","Hembra",2365,"Transición","2014",122
"7264",469,"4","Hembra",2771,"Transición","2015",185
"73010",371,"1","Hembra",1180,"Transición","1976",87
"73010",342,"2","Hembra",1551,"Transición","1977",58
"73010",319,"3","Hembra",1893,"Sequía","1978",35
"73010",342,"5","Macho",2620,"Sequía","1980",58
"73010",390,"6","Macho",2962,"Sequía","1981",106
"73010",391,"7","Macho",3352,"Sequía","1982",107
"73010",356,"8","Macho",3743,"Transición","1983",72
"73010",317,"9","Hembra",4099,"Transición","1984",33
"73018",352,"1","Macho",1153,"Sequía","1976",68
"73018",364,"2","Macho",1505,"Sequía","1977",80
"73018",357,"5","Macho",2583,"Sequía","1980",73
"73018",364,"6","Hembra",2940,"Sequía","1981",80
"73018",357,"7","Hembra",3304,"Sequía","1982",73
"73096",465,"1","Macho",1017,"Transición","1975",181
"73200",367,"4","Hembra",2947,"Sequía","1981",83
"73200",340,"5","Macho",3314,"Sequía","1982",56
"73200",377,"6","Macho",3654,"Sequía","1983",93
"73200",377,"7","Hembra",4031,"Sequía","1984",93
"73200",373,"8","Macho",4408,"Sequía","1985",89
"73216",341,"4","Macho",2603,"Sequía","1980",57
"73272",379,"1","Macho",1141,"Transición","1976",95
"73282",363,"1","Hembra",1161,"Transición","1976",79
"73282",326,"6","Macho",3681,"Sequía","1983",42
"73282",357,"7","Hembra",4007,"Sequía","1984",73
"73282",361,"8","Macho",4364,"Sequía","1985",77
"73296",357,"1","Macho",1443,"Sequía","1977",73
"73296",372,"2","Hembra",1800,"Sequía","1978",88
"73296",441,"4","Macho",2530,"Sequía","1980",157
"73296",316,"5","Macho",2971,"Transición","1981",32
"74032",399,"1","Hembra",1099,"Sequía","1977",115
"74032",357,"2","Macho",1498,"Sequía","1978",73
"74038",343,"3","Macho",2216,"Sequía","1980",59
"74038",356,"4","Macho",2559,"Sequía","1981",72
"74090",382,"1","Hembra",1107,"Sequía","1977",98
"74090",354,"4","Hembra",2222,"Sequía","1980",70
"74090",359,"5","Macho",2576,"Sequía","1981",75
"74090",399,"6","Macho",2935,"Sequía","1982",115
"74096",342,"2","Macho",1884,"Sequía","1979",58
"74096",360,"3","Macho",2226,"Sequía","1980",76
"74096",333,"4","Macho",2586,"Sequía","1981",49
"74100",343,"1","Macho",1124,"Sequía","1977",59
"74100",389,"2","Hembra",1467,"Sequía","1978",105
"74100",366,"4","Macho",2215,"Sequía","1980",82
"74100",349,"5","Macho",2581,"Sequía","1981",65
"74100",372,"6","Hembra",2930,"Sequía","1982",88
"74102",371,"1","Macho",1110,"Sequía","1977",87
"74102",455,"3","Hembra",2164,"Transición","1979",171
"74108",371,"2","Macho",1841,"Sequía","1979",87
"74108",354,"3","Macho",2212,"Sequía","1980",70
"74152",393,"4","Hembra",2208,"Sequía","1980",109
"74152",361,"5","Macho",2601,"Sequía","1981",77
"74152",340,"6","Macho",2962,"Sequía","1982",56
"74152",430,"7","Hembra",3302,"Sequía","1983",146
"74160",391,"2","Macho",2214,"Sequía","1980",107
"74160",331,"3","Hembra",2605,"Sequía","1981",47
"74160",366,"5","Macho",3648,"Sequía","1984",82
"74178",380,"1","Macho",1096,"Sequía","1977",96
"74178",369,"4","Hembra",2195,"Sequía","1980",85
"74178",362,"5","Hembra",2564,"Sequía","1981",78
"74178",506,"6","Hembra",2926,"Sequía","1982",222
"74182",351,"3","Hembra",2191,"Sequía","1980",67
"74182",431,"4","Macho",2542,"Sequía","1981",147
"74206",366,"1","Hembra",1087,"Sequía","1977",82
"74206",377,"2","Macho",1453,"Sequía","1978",93
"74206",345,"4","Macho",2204,"Sequía","1980",61
"74206",374,"5","Hembra",2549,"Sequía","1981",90
"74206",417,"6","Macho",2923,"Sequía","1982",133
"74206",314,"7","Macho",3340,"Sequía","1983",30
"74206",378,"8","Macho",3654,"Sequía","1984",94
"74206",350,"9","Macho",4032,"Sequía","1985",66
"74214",385,"1","Macho",1094,"Sequía","1977",101
"74214",322,"3","Macho",1854,"Sequía","1979",48
"74214",347,"4","Macho",2186,"Sequía","1980",63
"74214",399,"5","Macho",2533,"Sequía","1981",115
"74214",330,"6","Hembra",2932,"Sequía","1982",46
"74228",385,"1","Hembra",1089,"Sequía","1977",101
"74266",410,"1","Macho",1103,"Sequía","1977",126
"74284",335,"1","Macho",1512,"Transición","1978",51
"74284",340,"2","Macho",1847,"Sequía","1979",56
"74284",374,"3","Macho",2187,"Sequía","1980",90
"74296",387,"3","Hembra",2179,"Sequía","1980",103
"74296",397,"4","Macho",2566,"Sequía","1981",113
"74296",386,"5","Hembra",2963,"Sequía","1982",102
"74296",360,"6","Macho",3349,"Transición","1983",76
"74296",324,"7","Macho",3709,"Transición","1984",40
"74296",368,"8","Hembra",4033,"Sequía","1985",84
"74304",371,"4","Hembra",2180,"Sequía","1980",87
"74304",424,"5","Hembra",2551,"Sequía","1981",140
"74394",326,"2","Hembra",1771,"Sequía","1979",42
"74394",386,"3","Macho",2097,"Sequía","1980",102
"74394",368,"4","Hembra",2483,"Sequía","1981",84
"74394",388,"5","Macho",2851,"Sequía","1982",104
"74394",379,"6","Hembra",3239,"Sequía","1983",95
"74394",410,"7","Hembra",3618,"Sequía","1984",126
"75006",429,"1","Macho",1858,"Sequía","1980",145
"75010",383,"1","Hembra",1112,"Sequía","1978",99
"75028",330,"3","Hembra",1880,"Sequía","1980",46
"75028",371,"4","Hembra",2210,"Sequía","1981",87
"75060",349,"1","Hembra",1104,"Sequía","1978",65
"75060",330,"3","Macho",1899,"Sequía","1980",46
"75070",506,"4","Hembra",2627,"Sequía","1982",222
"75070",376,"6","Macho",3686,"Sequía","1985",92
"75096",367,"2","Macho",1834,"Sequía","1980",83
"75096",354,"3","Macho",2201,"Sequía","1981",70
"75096",398,"4","Macho",2555,"Sequía","1982",114
"75096",342,"5","Hembra",2953,"Sequía","1983",58
"75096",451,"6","Hembra",3295,"Sequía","1984",167
"75096",348,"7","Macho",3746,"Transición","1985",64
"75134",362,"1","Hembra",1116,"Sequía","1978",78
"75138",340,"3","Hembra",1848,"Sequía","1980",56
"75138",397,"4","Hembra",2188,"Sequía","1981",113
"75138",355,"5","Hembra",2585,"Sequía","1982",71
"75184",350,"1","Macho",1100,"Sequía","1978",66
"75184",380,"2","Hembra",1450,"Sequía","1979",96
"75184",352,"3","Macho",1830,"Sequía","1980",68
"75184",377,"4","Macho",2182,"Sequía","1981",93
"75212",456,"1","Macho",1068,"Sequía","1978",172
"75212",335,"3","Hembra",1892,"Transición","1980",51
"75246",367,"1","Hembra",1061,"Sequía","1978",83
"75246",397,"2","Hembra",1428,"Sequía","1979",113
"75246",375,"3","Hembra",1825,"Sequía","1980",91
"75246",352,"4","Macho",2200,"Sequía","1981",68
"75246",351,"5","Macho",2552,"Sequía","1982",67
"75256",349,"2","Macho",1826,"Sequía","1980",65
"75256",383,"3","Hembra",2175,"Sequía","1981",99
"75256",356,"4","Macho",2558,"Sequía","1982",72
"75256",372,"6","Hembra",3648,"Sequía","1985",88
"75358",383,"2","Hembra",1801,"Sequía","1980",99
"75390",348,"3","Macho",1831,"Sequía","1980",64
"75390",322,"4","Macho",2179,"Sequía","1981",38
"75390",395,"5","Hembra",2501,"Sequía","1982",111
"75400",394,"1","Macho",1069,"Sequía","1978",110
"75400",388,"2","Macho",1463,"Sequía","1979",104
"75418",345,"2","Hembra",2147,"Sequía","1981",61
"75492",358,"1","Macho",1020,"Sequía","1978",74
"75492",394,"2","Hembra",1378,"Sequía","1979",110
"75492",345,"3","Macho",1772,"Sequía","1980",61
"75492",425,"4","Hembra",2117,"Sequía","1981",141
"75492",440,"5","Hembra",2542,"Sequía","1982",156
"75492",379,"7","Macho",3579,"Sequía","1985",95
"76046",362,"2","Hembra",1391,"Sequía","1980",78
"76046",465,"3","Hembra",1753,"Sequía","1981",181
"76046",360,"4","Hembra",2218,"Transición","1982",76
"76046",330,"5","Macho",2578,"Transición","1983",46
"76046",323,"6","Macho",2908,"Sequía","1984",39
"76046",390,"7","Macho",3231,"Sequía","1985",106
"76046",327,"8","Hembra",3621,"Sequía","1986",43
"76062",372,"2","Macho",1389,"Sequía","1980",88
"76082",374,"2","Macho",1410,"Sequía","1980",90
"76082",409,"3","Hembra",1784,"Sequía","1981",125
"76082",314,"4","Hembra",2193,"Sequía","1982",30
"76082",521,"5","Macho",2507,"Sequía","1983",237
"76096",384,"2","Hembra",1393,"Sequía","1980",100
"76096",355,"3","Macho",1777,"Sequía","1981",71
"76096",358,"5","Hembra",2870,"Sequía","1984",74
"76096",364,"6","Macho",3228,"Sequía","1985",80
"76118",346,"2","Macho",1386,"Sequía","1980",62
"76118",395,"3","Hembra",1732,"Sequía","1981",111
"76118",355,"4","Hembra",2127,"Sequía","1982",71
"76118",385,"5","Hembra",2482,"Sequía","1983",101
"76118",366,"6","Hembra",2867,"Sequía","1984",82
"76118",338,"7","Hembra",3233,"Sequía","1985",54
"76118",356,"8","Macho",3571,"Sequía","1986",72
"76118",407,"9","Hembra",3927,"Sequía","1987",123
"76118",356,"10","Macho",4334,"Sequía","1988",72
"76118",354,"11","Macho",4690,"Sequía","1989",70
"76124",403,"1","Hembra",1044,"Sequía","1979",119
"76124",372,"3","Macho",2406,"Transición","1982",88
"76124",439,"4","Macho",2778,"Transición","1983",155
"76124",384,"5","Macho",3217,"Sequía","1985",100
"76124",329,"6","Macho",3601,"Sequía","1986",45
"76124",377,"7","Macho",3930,"Sequía","1987",93
"76124",376,"8","Macho",4307,"Sequía","1988",92
"76148",409,"1","Hembra",998,"Sequía","1979",125
"76148",343,"2","Hembra",1407,"Sequía","1980",59
"76148",372,"3","Hembra",1750,"Sequía","1981",88
"76148",374,"4","Macho",2122,"Sequía","1982",90
"76148",370,"6","Macho",3210,"Sequía","1985",86
"76150",317,"2","Hembra",1425,"Sequía","1980",33
"76150",405,"3","Hembra",1742,"Sequía","1981",121
"76150",533,"4","Hembra",2150,"Sequía","1982",249
"76162",370,"2","Hembra",1387,"Sequía","1980",86
"76162",367,"3","Hembra",1757,"Sequía","1981",83
"76162",356,"4","Macho",2124,"Sequía","1982",72
"76162",429,"5","Macho",2480,"Sequía","1983",145
"76182",359,"3","Hembra",1745,"Sequía","1981",75
"76182",390,"4","Hembra",2104,"Sequía","1982",106
"76182",384,"6","Macho",3223,"Sequía","1985",100
"76182",373,"8","Macho",4313,"Sequía","1988",89
"76182",343,"9","Macho",4686,"Sequía","1989",59
"76182",385,"10","Hembra",5029,"Sequía","1990",101
"76182",351,"11","Hembra",5414,"Sequía","1991",67
"76182",377,"12","Macho",5765,"Sequía","1992",93
"76182",338,"13","Hembra",6142,"Sequía","1993",54
"76198",343,"2","Hembra",1386,"Sequía","1980",59
"76198",371,"3","Macho",1729,"Sequía","1981",87
"76198",376,"4","Hembra",2100,"Sequía","1982",92
"76198",382,"5","Hembra",2476,"Sequía","1983",98
"76198",412,"6","Macho",2858,"Sequía","1984",128
"76198",342,"7","Macho",3270,"Transición","1985",58
"76214",374,"2","Hembra",2482,"Sequía","1983",90
"76214",428,"3","Macho",2856,"Sequía","1984",144
