"Individuo","IEP","OP","SC","EdP","ÉpP","AP","DA"
"1162",388,"5","Macho",2882,"Sequía","2009",104
"1162",345,"7","Hembra",3998,"Sequía","2012",61
"1166",419,"1","Macho",1015,"Sequía","2004",135
"1166",446,"2","Macho",1434,"Sequía","2005",162
"1166",331,"4","Macho",2933,"Transición","2009",47
"1178",457,"1","Hembra",962,"Transición","2003",173
"1178",385,"2","Macho",1419,"Sequía","2005",101
"1178",367,"3","Hembra",1804,"Sequía","2006",83
"1178",328,"5","Hembra",2961,"Transición","2009",44
"1182",381,"1","Macho",1038,"Sequía","2004",97
"1182",371,"2","Macho",1419,"Sequía","2005",87
"1182",378,"3","Hembra",1790,"Sequía","2006",94
"1182",345,"5","Hembra",2880,"Sequía","2009",61
"1188",437,"1","Hembra",1004,"Sequía","2004",153
"1188",369,"3","Macho",2195,"Transición","2007",85
"12004-6",424,"1","Hembra",1118,"Transición","2015",140
"12004-6",328,"2","Hembra",1542,"Lluvia","2016",44
"12024",375,"1","Macho",1435,"Sequía","2016",91
"12034",369,"1","Hembra",1096,"Sequía","2015",85
"12034",335,"2","Macho",1465,"Sequía","2016",51
"12036",349,"1","Hembra",1163,"Transición","2015",65
"12046",477,"1","Macho",1080,"Sequía","2015",193
"12064",521,"1","Hembra",988,"Transición","2014",237
"12084",383,"1","Macho",1134,"Transición","2015",99
"12084",376,"2","Macho",1517,"Transición","2016",92
"12090",364,"1","Hembra",1163,"Lluvia","2015",80
"12090",512,"2","Macho",1527,"Transición","2016",228
"12138",388,"1","Hembra",1347,"Sequía","2016",104
"12156",463,"1","Macho",998,"Sequía","2015",179
"130",425,"1","Hembra",1032,"Transición","2002",141
"130",375,"2","Macho",1457,"Sequía","2004",91
"130",419,"3","Hembra",1832,"Sequía","2005",135
"130",386,"4","Hembra",2251,"Transición","2006",102
"130",423,"5","Macho",2637,"Transición","2007",139
"13008",348,"1","Hembra",1157,"Sequía","2016",64
"13022",323,"1","Hembra",1171,"Transición","2016",39
"13032",376,"1","Hembra",1125,"Sequía","2016",92
"13044",397,"1","Macho",1110,"Sequía","2016",113
"13048",360,"1","Hembra",1133,"Transición","2016",76
"13096",394,"1","Hembra",1006,"Sequía","2016",110
"13502",348,"1","Hembra",1214,"Transición","2016",64
"13504",394,"1","Macho",1152,"Lluvia","2016",110
"13508",368,"1","Hembra",1153,"Transición","2016",84
"13510",359,"1","Macho",1179,"Lluvia","2016",75
"13512",474,"1","Macho",1154,"Sequía","2016",190
"13514",328,"1","Hembra",1167,"Lluvia","2016",44
"13520",347,"1","Hembra",1116,"Transición","2016",63
"13522",353,"1","Hembra",1112,"Transición","2016",69
"14",361,"1","Macho",1124,"Sequía","2003",77
"14",365,"2","Hembra",1485,"Sequía","2004",81
"14080",430,"1","Hembra",940,"Transición","2016",146
"158",363,"1","Macho",1087,"Sequía","2003",79
"162",463,"2","Hembra",1811,"Sequía","2005",179
"162",378,"3","Hembra",2274,"Transición","2006",94
"164",401,"1","Macho",1062,"Sequía","2003",117
"166",372,"1","Macho",1076,"Sequía","2003",88
"166",409,"3","Macho",2189,"Sequía","2006",125
"168",372,"1","Hembra",1074,"Sequía","2003",88
"168",373,"2","Macho",1446,"Sequía","2004",89
"168",391,"3","Macho",1819,"Sequía","2005",107
"172",378,"1","Macho",1062,"Sequía","2003",94
"172",365,"2","Macho",1440,"Sequía","2004",81
"172",394,"3","Hembra",1805,"Sequía","2005",110
"172",387,"4","Hembra",2199,"Sequía","2006",103
"172",332,"6","Macho",3287,"Sequía","2009",48
"176",449,"2","Hembra",1814,"Sequía","2005",165
"176",358,"3","Macho",2263,"Transición","2006",74
"176",366,"4","Hembra",2621,"Transición","2007",82
"182",359,"1","Hembra",1067,"Sequía","2003",75
"182",379,"2","Macho",1426,"Sequía","2004",95
"182",445,"3","Macho",1805,"Sequía","2005",161
"182",319,"4","Macho",2250,"Transición","2006",35
"182",401,"5","Macho",2569,"Transición","2007",117
"182",330,"6","Hembra",2970,"Transición","2008",46
"182",324,"7","Macho",3300,"Transición","2009",40
"182",361,"8","Macho",3624,"Sequía","2010",77
"182",443,"9","Hembra",3985,"Sequía","2011",159
"182",337,"10","Hembra",4428,"Transición","2012",53
"186",378,"1","Hembra",1065,"Sequía","2003",94
"186",370,"2","Macho",1443,"Sequía","2004",86
"186",426,"3","Hembra",1813,"Sequía","2005",142
"186",328,"4","Hembra",2239,"Transición","2006",44
"188",389,"1","Macho",1060,"Sequía","2003",105
"188",409,"2","Hembra",1449,"Sequía","2004",125
"188",402,"3","Hembra",1858,"Transición","2005",118
"188",341,"4","Macho",2260,"Transición","2006",57
"188",329,"5","Macho",2601,"Transición","2007",45
"188",475,"7","Hembra",3578,"Sequía","2010",191
"196",356,"1","Macho",1074,"Sequía","2003",72
"196",383,"2","Hembra",1430,"Sequía","2004",99
"196",378,"3","Macho",1813,"Sequía","2005",94
"196",377,"4","Hembra",2191,"Sequía","2006",93
"196",362,"5","Hembra",2568,"Transición","2007",78
"196",344,"6","Macho",2930,"Transición","2008",60
"196",400,"7","Macho",3274,"Sequía","2009",116
"2",361,"1","Macho",1159,"Sequía","2003",77
"2",391,"2","Macho",1520,"Sequía","2004",107
"2",393,"4","Hembra",2634,"Sequía","2007",109
"2",352,"5","Macho",3027,"Transición","2008",68
"2",322,"6","Macho",3379,"Transición","2009",38
"200",366,"2","Hembra",1441,"Sequía","2004",82
"200",457,"3","Macho",1807,"Sequía","2005",173
"200",349,"4","Macho",2264,"Transición","2006",65
"200",428,"6","Macho",3206,"Sequía","2009",144
"2006",333,"1","Hembra",906,"Lluvia","2004",49
"2006",351,"2","Hembra",1239,"Transición","2005",67
"2006",330,"3","Macho",1590,"Transición","2006",46
"2006",340,"5","Macho",2604,"Sequía","2009",56
"2006",371,"6","Macho",2944,"Sequía","2010",87
"2006",420,"7","Hembra",3315,"Sequía","2011",136
"2006",332,"8","Macho",3735,"Transición","2012",48
"2020",412,"1","Hembra",1148,"Sequía","2005",128
"2020",333,"2","Hembra",1560,"Transición","2006",49
"2020",351,"3","Macho",1893,"Transición","2007",67
"2022",399,"1","Macho",1128,"Sequía","2005",115
"2022",353,"2","Hembra",1527,"Transición","2006",69
"2024",396,"2","Macho",1490,"Sequía","2006",112
"2024",351,"3","Hembra",1886,"Transición","2007",67
"2024",352,"4","Macho",2237,"Sequía","2008",68
"2026",450,"1","Hembra",1136,"Sequía","2005",166
"2026",345,"2","Macho",1586,"Transición","2006",61
"2026",356,"3","Macho",1931,"Transición","2007",72
"2026",350,"4","Macho",2287,"Transición","2008",66
"2034",429,"1","Macho",1146,"Sequía","2005",145
"2040",385,"2","Macho",1882,"Transición","2007",101
"2040",348,"3","Hembra",2267,"Transición","2008",64
"2040",332,"4","Hembra",2615,"Transición","2009",48
"2052",467,"1","Hembra",1121,"Sequía","2005",183
"2052",335,"2","Hembra",1588,"Transición","2006",51
"2058",348,"1","Macho",920,"Lluvia","2004",64
"2058",318,"2","Hembra",1268,"Lluvia","2005",34
"2074",469,"1","Macho",1114,"Sequía","2005",185
"2074",336,"3","Macho",2259,"Transición","2008",52
"2074",349,"4","Hembra",2595,"Sequía","2009",65
"2084",397,"1","Hembra",1109,"Sequía","2005",113
"2084",422,"2","Hembra",1506,"Sequía","2006",138
"2084",318,"3","Hembra",1928,"Transición","2007",34
"2084",326,"4","Hembra",2246,"Transición","2008",42
"2084",420,"5","Hembra",2572,"Sequía","2009",136
"2092",451,"1","Hembra",1106,"Sequía","2005",167
"2092",325,"2","Hembra",1557,"Transición","2006",41
"2092",419,"4","Macho",2568,"Sequía","2009",135
"2094",421,"1","Macho",1130,"Sequía","2005",137
"2096",427,"1","Macho",1178,"Transición","2005",143
"2096",306,"2","Macho",1605,"Lluvia","2006",22
"2104",440,"1","Macho",1118,"Sequía","2005",156
"2104",316,"2","Hembra",1558,"Transición","2006",32
"2104",378,"3","Macho",1874,"Transición","2007",94
"2104",330,"4","Macho",2252,"Transición","2008",46
"2104",343,"5","Macho",2582,"Sequía","2009",59
"2104",371,"6","Hembra",2925,"Sequía","2010",87
"2104",469,"8","Macho",4147,"Transición","2013",185
"2106",488,"1","Macho",1109,"Sequía","2005",204
"2106",321,"2","Macho",1597,"Lluvia","2006",37
"2106",320,"3","Hembra",1918,"Transición","2007",36
"2106",340,"4","Macho",2238,"Transición","2008",56
"2106",433,"5","Hembra",2578,"Sequía","2009",149
"2106",356,"7","Hembra",3679,"Sequía","2012",72
"2114",349,"1","Macho",1168,"Transición","2005",65
"2114",354,"2","Macho",1517,"Transición","2006",70
"2114",382,"3","Macho",1871,"Transición","2007",98
"2114",323,"4","Hembra",2253,"Transición","2008",39
"2114",356,"5","Hembra",2576,"Sequía","2009",72
"2114",346,"7","Hembra",3495,"Lluvia","2011",62
"2114",504,"10","Macho",4993,"Transición","2015",220
"2120",339,"2","Macho",1501,"Sequía","2006",55
"2120",335,"3","Macho",1840,"Sequía","2007",51
"2124",437,"1","Macho",1101,"Sequía","2005",153
"2124",367,"2","Macho",1538,"Transición","2006",83
"2124",327,"3","Macho",1905,"Transición","2007",43
"2124",332,"4","Hembra",2232,"Sequía","2008",48
"2124",424,"5","Hembra",2564,"Sequía","2009",140
"2124",377,"6","Hembra",2988,"Transición","2010",93
"2124",384,"8","Hembra",4445,"Transición","2014",100
"2128",415,"1","Macho",1160,"Transición","2005",131
"2128",492,"3","Macho",2114,"Transición","2007",208
"2130",350,"2","Hembra",1889,"Transición","2007",66
"2130",377,"3","Macho",2239,"Transición","2008",93
"2130",370,"4","Hembra",2616,"Transición","2009",86
"2132",489,"1","Hembra",1112,"Sequía","2005",205
"2132",329,"2","Hembra",1601,"Lluvia","2006",45
"2132",374,"3","Macho",1930,"Transición","2007",90
"2132",326,"4","Macho",2304,"Transición","2008",42
"2132",381,"6","Macho",3346,"Transición","2011",97
"2132",396,"7","Macho",3727,"Transición","2012",112
"2148",451,"1","Hembra",1107,"Sequía","2005",167
"2148",329,"2","Hembra",1558,"Transición","2006",45
"2148",513,"5","Macho",3196,"Transición","2010",229
"2154",465,"1","Hembra",1106,"Sequía","2005",181
"2154",361,"2","Macho",1571,"Transición","2006",77
"2154",429,"4","Hembra",2517,"Sequía","2009",145
"2156",462,"1","Hembra",1096,"Sequía","2005",178
"2156",331,"2","Hembra",1558,"Transición","2006",47
"2156",396,"4","Hembra",2556,"Sequía","2009",112
"2158",490,"1","Hembra",1098,"Sequía","2005",206
"2158",332,"2","Macho",1588,"Lluvia","2006",48
"216",351,"1","Hembra",1086,"Transición","2003",67
"216",357,"2","Macho",1437,"Sequía","2004",73
"216",451,"3","Macho",1794,"Sequía","2005",167
"218",381,"2","Hembra",1451,"Transición","2004",97
"2182",437,"1","Macho",1454,"Sequía","2006",153
"2182",363,"2","Hembra",1891,"Transición","2007",79
"2182",317,"3","Macho",2254,"Transición","2008",33
"2182",414,"7","Macho",4821,"Transición","2015",130
"2184",381,"1","Macho",1162,"Transición","2005",97
"2184",345,"3","Macho",2211,"Sequía","2008",61
"2184",397,"4","Macho",2556,"Sequía","2009",113
"2190",471,"1","Macho",1070,"Sequía","2005",187
